"","SOC","Occupation","Job Postings","Median Hourly Earnings","Typical Entry Level Education","Pct. 25 Hourly Earnings","Pct. 75 Hourly Earnings","deduplicated"
"46","13-1161","Market Research Analysts & Marketing Specialists",147,23.82,"Bachelor's degree","$18.71","$33.43",117.6
"47","29-2099","Health Technologists & Technicians, All Other",145,22.8,"High school diploma or equivalent","$17.88","$29.29",116
"48","41-9011","Demonstrators & Product Promoters",145,12.03,"High school diploma or equivalent","$10.51","$14.98",116
"49","29-2052","Pharmacy Technicians",138,14.39,"High school diploma or equivalent","$11.88","$17.34",110.4
"50","39-9021","Personal Care Aides",138,10.29,"No formal educational credential","$9.27","$11.49",110.4
"51","27-2022","Coaches & Scouts",134,11.83,"Bachelor's degree","$9.63","$16.87",107.2
"52","37-2011","Janitors & Cleaners, Except Maids & Housekeeping Cleaners",133,10.71,"No formal educational credential","$9.21","$13.66",106.4
"53","11-9051","Food Service Managers",132,19.99,"High school diploma or equivalent","$16.91","$23.89",105.6
"54","51-9061","Inspectors, Testers, Sorters, Samplers, & Weighers",132,16.58,"High school diploma or equivalent","$12.94","$24.59",105.6
"55","53-6031","Automotive & Watercraft Service Attendants",126,11.79,"No formal educational credential","$10.01","$14.37",100.8
"56","13-2051","Financial Analysts",120,33.1,"Bachelor's degree","$26.13","$45.16",96
"57","15-1141","Database Administrators",119,34.26,"Bachelor's degree","$24.11","$44.18",95.2
"58","35-3031","Waiters & Waitresses",117,9.36,"No formal educational credential","$8.67","$10.19",93.6
